Year,Sex,State,Number_of_teachers
2016,Female,Malaysia,127209
2016,Female,Johor,15235
2016,Female,Kedah,9601
2016,Female,Kelantan,7771
2016,Female,Melaka,4338
2016,Female,Negeri Sembilan,5855
2016,Female,Pahang,7556
2016,Female,Perak,12144
2016,Female,Perlis,1483
2016,Female,Pulau Pinang,7103
2016,Female,Sabah ,9486
2016,Female,Sarawak,9736
2016,Female,Selangor,22097
2016,Female,Terengganu,7021
2016,Female,W.P. Kuala Lumpur,6723
2016,Female,W.P. Labuan,436
2016,Female,W.P. Putrajaya,624
2016,Male,Malaysia,54510
2016,Male,Johor,6189
2016,Male,Kedah,4687
2016,Male,Kelantan,4919
2016,Male,Melaka,1841
2016,Male,Negeri Sembilan,2166
2016,Male,Pahang,3771
2016,Male,Perak,5822
2016,Male,Perlis,833
2016,Male,Pulau Pinang,2458
2016,Male,Sabah ,6172
2016,Male,Sarawak,5649
2016,Male,Selangor,4838
2016,Male,Terengganu,3249
2016,Male,W.P. Kuala Lumpur,1565
2016,Male,W.P. Labuan,237
2016,Male,W.P. Putrajaya,114
2017,Female,Malaysia,127192
2017,Female,Johor,15239
2017,Female,Kedah,9598
2017,Female,Kelantan,7766
2017,Female,Melaka,4339
2017,Female,Negeri Sembilan,5856
2017,Female,Pahang,7558
2017,Female,Perak,12141
2017,Female,Perlis,1482
2017,Female,Pulau Pinang,7098
2017,Female,Sabah ,9487
2017,Female,Sarawak,9739
2017,Female,Selangor,22098
2017,Female,Terengganu,7006
2017,Female,W.P. Kuala Lumpur,6724
2017,Female,W.P. Labuan,436
2017,Female,W.P. Putrajaya,625
2017,Male,Malaysia,54441
2017,Male,Johor,6185
2017,Male,Kedah,4682
2017,Male,Kelantan,4907
2017,Male,Melaka,1837
2017,Male,Negeri Sembilan,2168
2017,Male,Pahang,3759
2017,Male,Perak,5817
2017,Male,Perlis,829
2017,Male,Pulau Pinang,2449
2017,Male,Sabah ,6175
2017,Male,Sarawak,5646
2017,Male,Selangor,4835
2017,Male,Terengganu,3239
2017,Male,W.P. Kuala Lumpur,1562
2017,Male,W.P. Labuan,237
2017,Male,W.P. Putrajaya,114
2018,Female,Malaysia,129247
2018,Female,Johor,15418
2018,Female,Kedah,9680
2018,Female,Kelantan,7979
2018,Female,Melaka,4410
2018,Female,Negeri Sembilan,5927
2018,Female,Pahang,7727
2018,Female,Pulau Pinang,7101
2018,Female,Perak,12209
2018,Female,Perlis,1525
2018,Female,Selangor,22194
2018,Female,Terengganu,7218
2018,Female,Sabah ,9946
2018,Female,Sarawak,10127
2018,Female,W.P. Kuala Lumpur,6658
2018,Female,W.P. Labuan,451
2018,Female,W.P. Putrajaya,677
2018,Male,Malaysia,54229
2018,Male,Johor,6167
2018,Male,Kedah,4518
2018,Male,Kelantan,4813
2018,Male,Melaka,1791
2018,Male,Negeri Sembilan,2177
2018,Male,Pahang,3785
2018,Male,Pulau Pinang,2395
2018,Male,Perak,5680
2018,Male,Perlis,828
2018,Male,Selangor,4881
2018,Male,Terengganu,3220
2018,Male,Sabah ,6323
2018,Male,Sarawak,5595
2018,Male,W.P. Kuala Lumpur,1688
2018,Male,W.P. Labuan,219
2018,Male,W.P. Putrajaya,149
2019,Female,Malaysia,128974
2019,Female,Johor,15478
2019,Female,Kedah,9638
2019,Female,Kelantan,8046
2019,Female,Melaka,4400
2019,Female,Negeri Sembilan,5901
2019,Female,Pahang,7711
2019,Female,Pulau Pinang,7061
2019,Female,Perak,12125
2019,Female,Perlis,1536
2019,Female,Selangor,22026
2019,Female,Terengganu,7253
2019,Female,Sabah ,10004
2019,Female,Sarawak,10053
2019,Female,W.P. Kuala Lumpur,6637
2019,Female,W.P. Labuan,436
2019,Female,W.P. Putrajaya,669
2019,Male,Malaysia,53458
2019,Male,Johor,6051
2019,Male,Kedah,4395
2019,Male,Kelantan,4778
2019,Male,Melaka,1768
2019,Male,Negeri Sembilan,2172
2019,Male,Pahang,3737
2019,Male,Pulau Pinang,2370
2019,Male,Perak,5512
2019,Male,Perlis,814
2019,Male,Selangor,4863
2019,Male,Terengganu,3167
2019,Male,Sabah ,6310
2019,Male,Sarawak,5467
2019,Male,W.P. Kuala Lumpur,1689
2019,Male,W.P. Labuan,210
2019,Male,W.P. Putrajaya,155
2020,Female,Malaysia,128192
2020,Female,Johor,15353
2020,Female,Kedah,9526
2020,Female,Kelantan,8056
2020,Female,Melaka,4396
2020,Female,Negeri Sembilan,5851
2020,Female,Pahang,7747
2020,Female,Pulau Pinang,6956
2020,Female,Perak,12032
2020,Female,Perlis,1527
2020,Female,Selangor,21760
2020,Female,Terengganu,7290
2020,Female,Sabah ,10204
2020,Female,Sarawak,9878
2020,Female,W.P. Kuala Lumpur,6501
2020,Female,W.P. Labuan,438
2020,Female,W.P. Putrajaya,677
2020,Male,Malaysia,51986
2020,Male,Johor,5869
2020,Male,Kedah,4199
2020,Male,Kelantan,4629
2020,Male,Melaka,1735
2020,Male,Negeri Sembilan,2116
2020,Male,Pahang,3622
2020,Male,Pulau Pinang,2262
2020,Male,Perak,5355
2020,Male,Perlis,803
2020,Male,Selangor,4772
2020,Male,Terengganu,3095
2020,Male,Sabah ,6220
2020,Male,Sarawak,5255
2020,Male,W.P. Kuala Lumpur,1701
2020,Male,W.P. Labuan,198
2020,Male,W.P. Putrajaya,155
2021,Female,Malaysia,125773
2021,Female,Johor,15119
2021,Female,Kedah,9345
2021,Female,Kelantan,7965
2021,Female,Melaka,4304
2021,Female,Negeri Sembilan,5726
2021,Female,Pahang,7659
2021,Female,Pulau Pinang,6794
2021,Female,Perak,11815
2021,Female,Perlis,1491
2021,Female,Selangor,21375
2021,Female,Terengganu,7177
2021,Female,Sabah ,10036
2021,Female,Sarawak,9556
2021,Female,W.P. Kuala Lumpur,6303
2021,Female,W.P. Labuan,420
2021,Female,W.P. Putrajaya,688
2021,Male,Malaysia,50214
2021,Male,Johor,5702
2021,Male,Kedah,4037
2021,Male,Kelantan,4435
2021,Male,Melaka,1663
2021,Male,Negeri Sembilan,2059
2021,Male,Pahang,3519
2021,Male,Pulau Pinang,2188
2021,Male,Perak,5124
2021,Male,Perlis,770
2021,Male,Selangor,4647
2021,Male,Terengganu,2984
2021,Male,Sabah ,6042
2021,Male,Sarawak,5050
2021,Male,W.P. Kuala Lumpur,1638
2021,Male,W.P. Labuan,193
2021,Male,W.P. Putrajaya,163
